pl_name,pl_rvflag,pl_controvflag,pl_radj,pl_bmassj,pl_bmassprov,pl_bmassjlim,pl_radjerr1,pl_radjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_orbper,pl_orbsmax,pl_orbpererr1,pl_orbpererr2,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbincl,pl_dens,pl_orblper,pl_ratror,pl_discmethod,pl_kepflag,pl_k2flag,pl_locale,pl_facility,pl_disc,pl_def_refname,pl_disc_refname,rowupdate,pl_publ_date,pl_insol,st_teff,st_metfe,st_metratio,pl_hostname,st_rad,st_mass,st_spstr,st_raderr1,st_raderr2,st_masserr1,st_masserr2
Kepler-37 b,1,0,0.030,0.01000,Mass,0,0.000,0.000,0.01000,-0.01000,13.36731000,,0.00007100,-0.00007100,,,0.000000,88.630,,,,Transit,1,0,Space,Kepler,2013,Stassun et al. 2017,Barclay et al. 2013,2018-04-26,2013-02,,5417.00,-0.320,[Fe/H],Kepler-37,0.79,0.87,,0.03,-0.03,0.15,-0.15
Kepler-444 b,0,0,0.036,,,,0.001,-0.001,,,3.60010530,0.041780,0.00000830,-0.00000800,0.000790,-0.000790,0.160000,88.000,,,0.00491,Transit,1,0,Space,Kepler,2015,Campante et al. 2015,Campante et al. 2015,2015-01-29,2015-02,,5046.00,-0.550,[Fe/H],Kepler-444,0.75,0.76,K,0.01,-0.01,0.04,-0.04
Kepler-102 b,1,0,0.042,0.01353,Mass,1,0.002,-0.002,,,5.28696000,,,,,,,,,,0.00580,Transit,1,0,Space,Kepler,2014,Marcy et al. 2014,Marcy et al. 2014,2016-10-13,2014-02,,4909.00,0.180,[Fe/H],Kepler-102,0.76,0.81,,0.07,-0.07,0.04,-0.09
Kepler-444 c,0,0,0.044,,,,0.002,-0.002,,,4.54588410,0.048810,0.00000700,-0.00000710,0.000930,-0.000930,0.310000,88.200,,,0.00605,Transit,1,0,Space,Kepler,2015,Campante et al. 2015,Campante et al. 2015,2015-01-29,2015-02,,5046.00,-0.550,[Fe/H],Kepler-444,0.75,0.76,K,0.01,-0.01,0.04,-0.04
Kepler-1308 b,0,0,0.046,,,,0.005,-0.004,,,2.10433812,,0.00000424,-0.00000424,,,,,,,0.01388,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,3468.00,-0.130,[Fe/H],Kepler-1308,0.34,0.35,,0.03,-0.03,0.04,-0.04
Kepler-138 b,0,0,0.047,0.00021,Mass,0,0.003,-0.003,0.00019,-0.00012,10.31260000,,0.00040000,-0.00060000,,,,,2.60000,,0.01080,Transit,1,0,Space,Kepler,2014,Jontof-Hutter et al. 2015,Rowe et al. 2014,2015-06-17,2014-03,6.8100,3841.00,-0.280,[Fe/H],Kepler-138,0.44,0.52,M1 V,0.02,-0.02,0.06,-0.06
Kepler-444 d,0,0,0.047,,,,0.002,-0.002,,,6.18939200,0.060000,0.00001200,-0.00001200,0.001100,-0.001100,0.180000,88.160,,,0.00644,Transit,1,0,Space,Kepler,2015,Campante et al. 2015,Campante et al. 2015,2015-01-29,2015-02,,5046.00,-0.550,[Fe/H],Kepler-444,0.75,0.76,K,0.01,-0.01,0.04,-0.04
Kepler-62 c,1,0,0.048,0.01300,Mass,1,0.003,-0.003,,,12.44170000,0.092900,0.00010000,-0.00010000,0.000900,-0.000900,,89.700,,,0.00770,Transit,1,0,Space,Kepler,2013,Borucki et al. 2013,Borucki et al. 2013,2014-05-14,2013-05,,4925.00,-0.370,[Fe/H],Kepler-62,0.64,0.69,K2 V,0.02,-0.02,0.02,-0.02
Kepler-444 e,0,0,0.049,,,,0.002,-0.001,,,7.74349300,0.069600,0.00001700,-0.00001600,0.001300,-0.001300,0.100000,89.130,,,0.00664,Transit,1,0,Space,Kepler,2015,Campante et al. 2015,Campante et al. 2015,2015-01-29,2015-02,,5046.00,-0.550,[Fe/H],Kepler-444,0.75,0.76,K,0.01,-0.01,0.04,-0.04
Kepler-42 d,0,0,0.051,,,,0.016,-0.016,,,1.86516900,0.015400,0.00001400,-0.00001400,,,,,,,0.03070,Transit,1,0,Space,Kepler,2011,Muirhead et al. 2012,Muirhead et al. 2012,2014-05-14,2012-03,,3068.00,-0.330,[M/H],Kepler-42,0.17,0.13,M,0.04,-0.04,0.05,-0.05
Kepler-102 c,1,0,0.052,0.00944,Mass,1,0.002,-0.002,,,7.07142000,,,,,,,,,,0.00723,Transit,1,0,Space,Kepler,2014,Marcy et al. 2014,Marcy et al. 2014,2016-10-13,2014-02,,4909.00,0.180,[Fe/H],Kepler-102,0.76,0.81,,0.07,-0.07,0.04,-0.09
Kepler-1583 b,0,0,0.054,,,,0.008,-0.004,,,9.32807355,,0.00008851,-0.00008851,,,,,,,0.00590,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5645.00,-0.070,[Fe/H],Kepler-1583,0.91,0.94,,0.12,-0.07,0.05,-0.06
Kepler-1087 b,0,0,0.054,,,,0.015,-0.004,,,0.69384285,,0.00000159,-0.00000159,,,,,,,0.00646,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5589.00,0.010,[Fe/H],Kepler-1087,0.94,0.96,,0.26,-0.07,0.07,-0.06
K2-89 b,0,0,0.055,,,,0.007,-0.007,,,1.09602600,0.014620,0.00006500,-0.00006500,0.000510,-0.000510,,,,,0.01760,Transit,0,1,Space,K2,2016,Crossfield et al. 2016,Crossfield et al. 2016,2016-07-18,,78.0000,3691.00,,,K2-89,0.32,0.35,,0.03,-0.03,0.04,-0.04
Kepler-1371 c,0,0,0.057,,,,0.006,-0.004,,,2.00541269,,0.00001065,-0.00001065,,,,,,,0.00676,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5361.00,-0.070,[Fe/H],Kepler-1371,0.83,0.87,,0.07,-0.06,0.04,-0.05
Kepler-1542 c,0,0,0.058,,,,0.008,-0.005,,,2.89223021,,0.00001472,-0.00001472,,,,,,,0.00637,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5564.00,0.060,[Fe/H],Kepler-1542,0.99,0.94,,0.13,-0.09,0.03,-0.03
Kepler-1351 b,0,0,0.058,,,,0.004,-0.004,,,0.91614077,,0.00000192,-0.00000192,,,,,,,0.00897,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,4439.00,-0.030,[Fe/H],Kepler-1351,0.67,0.70,,0.03,-0.04,0.03,-0.04
Kepler-271 d,0,0,0.059,,,,0.004,-0.004,,,5.24972541,,0.00004062,-0.00004062,,,,,,,0.00722,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5555.00,-0.130,[Fe/H],Kepler-271,0.87,0.90,,0.05,-0.04,0.04,-0.04
Kepler-431 c,0,0,0.060,,,,,,,,8.70300000,0.084700,,,,,,,,,0.00560,Transit,1,0,Space,Kepler,2015,Everett et al. 2015,Everett et al. 2015,2014-11-19,2015-02,,6004.00,0.070,[Fe/H],Kepler-431,1.09,1.07,,0.19,-0.11,0.06,-0.04
Kepler-1558 b,0,0,0.061,,,,0.005,-0.004,,,3.50470358,,0.00001612,-0.00001612,,,,,,,0.00844,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5101.00,0.000,[Fe/H],Kepler-1558,0.79,0.83,,0.04,-0.04,0.04,-0.04
K2-116 b,0,0,0.062,,,,0.004,-0.004,,,4.65541100,0.048000,0.00048600,-0.00047300,0.002000,-0.002000,0.060000,89.090,,-23.4400,0.00940,Transit,0,1,Space,K2,2017,Dressing et al. 2017,Dressing et al. 2017,2017-10-05,,78.6000,4348.35,,,K2-116,0.67,0.69,,0.03,-0.03,0.07,-0.07
EPIC 201497682 b,0,0,0.062,,,,0.005,-0.004,,,2.13174000,,0.00022000,-0.00022000,,,,,,,0.01150,Transit,0,1,Space,K2,2019,Heller et al. 2019,Heller et al. 2019,2019-06-13,,,,,,EPIC 201497682,,0.78,,,,0.09,-0.17
Kepler-378 c,0,0,0.062,,,,0.004,-0.004,,,28.90600900,0.166000,0.00021600,-0.00021600,,,,,,,,Transit,1,0,Space,Kepler,2014,Rowe et al. 2014,Rowe et al. 2014,2014-05-14,2014-03,,4661.00,,,Kepler-378,0.67,,,0.04,-0.04,,
Kepler-141 b,0,0,0.062,,,,0.004,-0.004,,,3.10767500,0.039000,0.00002200,-0.00002200,,,,,,,,Transit,1,0,Space,Kepler,2014,Rowe et al. 2014,Rowe et al. 2014,2014-05-14,2014-03,,4910.00,,,Kepler-141,0.79,,,0.04,-0.04,,
Kepler-1349 b,0,0,0.062,,,,0.056,-0.010,,,2.12823928,,0.00001057,-0.00001057,,,,,,,0.00464,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,6086.00,0.030,[Fe/H],Kepler-1349,1.28,1.16,,1.15,-0.19,0.41,-0.08
K2-266 c,1,0,0.063,0.00091,Msin(i)/sin(i),0,0.009,-0.008,0.00054,-0.00054,7.81400000,0.067900,0.00190000,-0.00160000,0.001100,-0.001100,0.042000,88.280,4.51000,87.0000,0.00920,Transit,0,1,Space,K2,2018,Rodriguez et al. 2018,Rodriguez et al. 2018,2018-10-26,,32.4000,4285.00,-0.120,[Fe/H],K2-266,0.70,0.69,,0.02,-0.02,0.03,-0.03
Kepler-1339 b,0,0,0.063,,,,0.005,-0.004,,,1.34155513,,0.00000370,-0.00000370,,,,,,,0.00700,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5586.00,0.010,[Fe/H],Kepler-1339,0.93,0.94,,0.06,-0.05,0.03,-0.04
Kepler-1559 b,0,0,0.064,,,,0.006,-0.004,,,0.97191543,,0.00000379,-0.00000379,,,,,,,0.00784,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5316.00,-0.040,[Fe/H],Kepler-1559,0.82,0.86,,0.06,-0.05,0.04,-0.05
Kepler-124 b,0,0,0.065,,,,0.004,-0.004,,,3.41049300,0.039000,0.00002100,-0.00002100,,,,,,,,Transit,1,0,Space,Kepler,2014,Rowe et al. 2014,Rowe et al. 2014,2014-05-14,2014-03,,4984.00,,,Kepler-124,0.64,,,0.03,-0.03,,
Kepler-42 c,0,0,0.065,,,,0.018,-0.018,,,0.45328509,0.006000,0.00000097,-0.00000097,,,,,,,0.03950,Transit,1,0,Space,Kepler,2011,Muirhead et al. 2012,Muirhead et al. 2012,2014-05-14,2012-03,,3068.00,-0.330,[M/H],Kepler-42,0.17,0.13,M,0.04,-0.04,0.05,-0.05
Kepler-1371 b,0,0,0.065,,,,0.007,-0.004,,,3.44620390,,0.00002017,-0.00002017,,,,,,,0.00818,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5361.00,-0.070,[Fe/H],Kepler-1371,0.83,0.87,,0.07,-0.06,0.04,-0.05
Kepler-125 c,0,0,0.066,,,,0.004,-0.004,,,5.77446400,0.051000,0.00004700,-0.00004700,,,,,,,,Transit,1,0,Space,Kepler,2014,Rowe et al. 2014,Rowe et al. 2014,2014-05-14,2014-03,,3810.00,,,Kepler-125,0.51,,M1 V,0.02,-0.02,,
Kepler-345 b,0,0,0.066,,,,0.005,-0.005,,,7.41556300,0.066000,0.00005400,-0.00005400,,,,,,,,Transit,1,0,Space,Kepler,2014,Rowe et al. 2014,Rowe et al. 2014,2014-05-14,2014-03,,4504.00,,,Kepler-345,0.62,,,0.03,-0.03,,
Kepler-444 f,0,0,0.066,,,,0.004,-0.004,,,9.74048600,0.081100,0.00001300,-0.00001300,0.001500,-0.001500,0.290000,87.960,,,0.00903,Transit,1,0,Space,Kepler,2015,Campante et al. 2015,Campante et al. 2015,2015-01-29,2015-02,,5046.00,-0.550,[Fe/H],Kepler-444,0.75,0.76,K,0.01,-0.01,0.04,-0.04
Kepler-1563 b,0,0,0.067,,,,0.011,-0.007,,,3.43276598,,0.00002976,-0.00002976,,,,,,,0.00744,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5765.00,0.020,[Fe/H],Kepler-1563,0.99,1.00,,0.15,-0.08,0.05,-0.05
Kepler-37 c,1,0,0.067,0.03776,Mass,1,0.003,-0.003,,,21.30200000,,,,,,,,,,0.00891,Transit,1,0,Space,Kepler,2013,Marcy et al. 2014,Barclay et al. 2013,2016-10-27,2013-02,,5417.00,-0.320,[Fe/H],Kepler-37,0.79,0.87,,0.03,-0.03,0.15,-0.15
Kepler-378 b,0,0,0.067,,,,0.013,-0.013,,,16.09236100,0.112000,0.00007300,-0.00007300,,,,,,,,Transit,1,0,Space,Kepler,2014,Rowe et al. 2014,Rowe et al. 2014,2014-05-14,2014-03,,4661.00,,,Kepler-378,0.67,,,0.04,-0.04,,
TRAPPIST-1 h,0,0,0.067,,,,0.003,-0.003,,,18.76700000,,0.00400000,-0.00300000,,,,89.760,,,0.05880,Transit,0,1,Multiple Locales,Multiple Observatories,2017,Luger et al. 2017,Gillon et al. 2016,2017-06-15,,0.1650,2559.00,0.040,[Fe/H],TRAPPIST-1,0.12,0.08,,0.00,-0.00,0.01,-0.01
Kepler-1619 b,0,0,0.068,,,,0.013,-0.007,,,23.62259130,,0.00054200,-0.00054200,,,,,,,0.00690,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5852.00,-0.070,[Fe/H],Kepler-1619,1.00,1.00,,0.19,-0.09,0.06,-0.07
Kepler-1588 b,0,0,0.068,,,,0.010,-0.006,,,7.84931739,,0.00009456,-0.00009456,,,,,,,0.00721,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5817.00,-0.140,[Fe/H],Kepler-1588,0.99,0.96,,0.12,-0.08,0.04,-0.05
Kepler-1542 b,0,0,0.068,,,,0.010,-0.007,,,3.95116882,,0.00001633,-0.00001633,,,,,,,0.00728,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5564.00,0.060,[Fe/H],Kepler-1542,0.99,0.94,,0.13,-0.09,0.03,-0.03
Kepler-1402 b,0,0,0.068,,,,0.007,-0.006,,,2.03387914,,0.00001415,-0.00001415,,,,,,,0.00832,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5416.00,0.030,[Fe/H],Kepler-1402,0.87,0.90,,0.08,-0.05,0.04,-0.04
Kepler-1542 e,0,0,0.068,,,,0.009,-0.007,,,5.10115756,,0.00002409,-0.00002409,,,,,,,0.00727,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5564.00,0.060,[Fe/H],Kepler-1542,0.99,0.94,,0.13,-0.09,0.03,-0.03
Kepler-431 b,0,0,0.068,,,,,,,,6.80300000,0.071900,,,,,,,,,0.00640,Transit,1,0,Space,Kepler,2015,Everett et al. 2015,Everett et al. 2015,2014-11-19,2015-02,,6004.00,0.070,[Fe/H],Kepler-431,1.09,1.07,,0.19,-0.11,0.06,-0.04
Kepler-1629 b,0,0,0.069,,,,0.013,-0.007,,,3.87595807,,0.00002379,-0.00002379,,,,,,,0.00699,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5776.00,0.050,[Fe/H],Kepler-1629,1.01,1.01,,0.19,-0.08,0.05,-0.05
TRAPPIST-1 d,0,0,0.069,0.00129,Mass,0,0.003,-0.003,0.00085,-0.00085,4.04961000,0.021440,0.00006300,-0.00006300,0.000660,-0.000630,0.070000,89.750,4.90000,,,Transit,0,1,Ground,La Silla Observatory,2016,Gillon et al. 2017,Gillon et al. 2016,2017-02-22,2016-05,1.1430,2559.00,0.040,[Fe/H],TRAPPIST-1,0.12,0.08,,0.00,-0.00,0.01,-0.01
Kepler-653 c,0,0,0.070,,,,0.012,-0.011,,,0.90037648,,0.00000363,-0.00000363,,,,,,,0.00583,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5665.00,0.230,[Fe/H],Kepler-653,1.19,1.02,,0.17,-0.16,0.05,-0.04
Kepler-783 b,0,0,0.070,,,,0.004,-0.007,,,4.29264638,,0.00003429,-0.00003429,,,,,,,0.00764,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5521.00,0.010,[Fe/H],Kepler-783,0.89,0.93,,0.04,-0.03,0.03,-0.04
Kepler-42 b,0,0,0.070,,,,0.020,-0.020,,,1.21376720,0.011600,0.00000460,-0.00000460,,,,,,,0.04190,Transit,1,0,Space,Kepler,2011,Muirhead et al. 2012,Muirhead et al. 2012,2014-05-14,2012-03,,3068.00,-0.330,[M/H],Kepler-42,0.17,0.13,M,0.04,-0.04,0.05,-0.05
Kepler-390 c,0,0,0.070,,,,0.007,-0.007,,,13.06002200,0.101000,0.00025700,-0.00025700,,,,,,,,Transit,1,0,Space,Kepler,2014,Rowe et al. 2014,Rowe et al. 2014,2014-05-14,2014-03,,5166.00,,,Kepler-390,0.78,,,0.05,-0.05,,
Kepler-1235 b,0,0,0.070,,,,0.011,-0.005,,,4.16055856,,0.00002789,-0.00002789,,,,,,,0.00768,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5541.00,0.010,[Fe/H],Kepler-1235,0.90,0.93,,0.12,-0.06,0.04,-0.05
Kepler-1566 b,0,0,0.070,,,,0.007,-0.004,,,0.53991524,,0.00000135,-0.00000135,,,,,,,0.00924,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5254.00,-0.070,[Fe/H],Kepler-1566,0.81,0.84,,0.06,-0.05,0.04,-0.05
