mpl_name,mpl_radj,mpl_bmassj,mpl_bmassprov,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_orbincl,mpl_dens,mpl_orblper,mpl_ratror,mpl_discmethod,mpl_disc,mpl_reflink,mpl_def,mst_rad,mst_mass,mst_raderr1,mst_raderr2,mst_masserr1,mst_masserr2,mpl_radjerr1,mpl_radjerr2,mpl_bmassjerr1,mpl_bmassjerr2,mpl_bmassjlim,mpl_orbpererr1,mpl_orbpererr2,mpl_orbsmaxerr1,mpl_orbsmaxerr2,mpl_ratrorerr1,mpl_ratrorerr2,rowupdate,mpl_publ_date
Kepler-37 b,0.025,,,,,,,,,,Transit,2013,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,0.79,,0.03,-0.03,,,0.003,-0.002,,,,,,,,,,2018-09-06,2013-02
Kepler-37 b,0.027,,,13.36730800,0.100300,,88.630,,,0.00360,Transit,2013,<a refstr=BARCLAY_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Natur.494..452B/abstract target=ref> Barclay et al. 2013 </a>,0,0.77,0.8030,0.03,-0.03,0.0680,-0.0680,0.005,-0.007,,,,0.00005800,-0.00008500,0.000800,-0.001100,0.00006,-0.00009,2014-05-14,2013-02
Kepler-37 b,0.029,0.03146,Mass,13.36750000,,,,,,0.00383,Transit,2013,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,0,0.77,0.8000,0.03,-0.03,0.0700,-0.0700,0.002,-0.002,,,1,,,,,,,2016-10-27,2013-02
Kepler-37 b,0.030,0.01000,Mass,13.36731000,,0.000000,88.630,,,,Transit,2013,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1,0.79,0.8700,0.03,-0.03,0.1500,-0.1500,0.000,0.000,0.01000,-0.01000,0,0.00007100,-0.00007100,,,,,2018-04-26,2013-02
Kepler-37 b,0.032,,,13.36805000,,0.080000,,,,,Transit,2013,<a refstr=VAN_EYLEN___ALBRECHT_2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...808..126V/abstract target=ref>Van Eylen & Albrecht 2015</a>,0,,,,,,,0.001,-0.001,,,,0.00038000,-0.00038000,,,,,2015-05-21,2013-02
Kepler-444 b,0.036,,,3.60010530,0.041780,0.160000,88.000,,,0.00491,Transit,2015,<a refstr=CAMPANTE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...799..170C/abstract target=ref>Campante et al. 2015</a>,1,0.75,0.7580,0.01,-0.01,0.0430,-0.0430,0.001,-0.001,,,,0.00000830,-0.00000800,0.000790,-0.000790,0.00017,-0.00014,2015-01-29,2015-02
Kepler-138 b,0.041,,,10.31320680,,0.000000,,,,0.00933,Transit,2014,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..267M/abstract target=ref>Mann et al. 2017</a>,0,0.45,0.4680,0.03,-0.02,0.0300,-0.0280,0.003,-0.003,,,,0.00003440,-0.00004510,,,0.00044,-0.00042,2017-05-25,2014-03
Kepler-296 b,0.042,,,3.62200000,,,,,,0.02000,Transit,2014,<a refstr=DRESSING__AMP__CHARBONNEAU_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...767...95D/abstract target=ref>Dressing &amp; Charbonneau 2013</a>,0,0.22,0.2110,0.05,-0.05,0.0500,-0.0500,0.010,-0.010,,,,,,,,,,2016-03-10,2014-03
Kepler-102 b,0.042,0.01353,Mass,5.28696000,,,,,,0.00580,Transit,2014,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,1,0.74,0.8000,0.02,-0.02,0.0600,-0.0600,0.002,-0.002,,,1,,,,,,,2016-10-13,2014-02
Kepler-102 b,0.044,,,5.28695437,,,,,,0.00595,Transit,2014,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0,0.74,0.8000,0.01,-0.01,0.0250,-0.0280,0.002,-0.003,,,,0.00002538,-0.00002538,,,0.00016,-0.00038,2016-05-10,2014-02
