,pl_name,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjref,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjref,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxref,st_rad,st_raderr1,st_raderr2,st_radref,st_mass,st_masserr1,st_masserr2,st_massref,st_metratio,st_metfe,pl_insol,st_teff,pl_facility,pl_locale,pl_bmassjlim,er,em,ep,ea,ers,ems,mmax,mmin
0,AU Mic b,0.375,0.018000000000000002,-0.018000000000000002,Plavchan et al. 2020,0.18,,,Plavchan et al. 2020,8.46321,4e-05,-4e-05,Plavchan et al. 2020,0.066,0.007,-0.006,Plavchan et al. 2020,0.75,0.03,-0.03,Plavchan et al. 2020,0.5,0.03,-0.03,Plavchan et al. 2020,,,,3700.0,Transiting Exoplanet Survey Satellite (TESS),Space,1.0,0.04800000000000001,,4.726339060474691e-06,0.0984848484848485,0.04,0.06,,
1,BD+20 594 b,0.23,0.01,-0.01,Stassun et al. 2017,0.051289999999999995,0.01888,-0.019190000000000002,Espinoza et al. 2016,41.6855,0.003,-0.003,Stassun et al. 2017,0.241,0.019,-0.017,Espinoza et al. 2016,0.93,0.06,-0.04,Espinoza et al. 2016,0.961,0.032,-0.029,Espinoza et al. 2016,[Fe/H],-0.15,,5766.0,K2,Space,0.0,0.043478260869565216,0.37112497562877766,7.196747070324214e-05,0.07468879668049794,0.053763440860215055,0.03173777315296566,0.07017,0.03209999999999999
2,CoRoT-1 b,1.715,0.03,-0.03,Bonomo et al. 2017,1.13,0.07,-0.07,Pont et al. 2010,1.50897655,1e-07,-1e-07,Turner et al. 2016,0.02752,0.00022,-0.00022999999999999998,Bonomo et al. 2017,1.23,0.02,-0.02,Bonomo et al. 2017,1.22,0.03,-0.03,Bonomo et al. 2017,[M/H],-0.3,,5950.0,CoRoT,Space,0.0,0.017492711370262388,0.06194690265486727,6.627008219577699e-08,0.008175872093023256,0.016260162601626018,0.02459016393442623,1.2,1.0599999999999998
3,CoRoT-10 b,0.97,0.07,-0.07,Bonomo et al. 2017,2.73,0.14,-0.14,Bonomo et al. 2017,13.2406,0.0002,-0.0002,Southworth 2011,0.106,0.0014,-0.0014,Southworth 2011,0.79,0.05,-0.05,Bonomo et al. 2017,0.904,0.035,-0.035,Southworth 2011,[Fe/H],0.26,,5075.0,CoRoT,Space,0.0,0.07216494845360825,0.05128205128205129,1.5105055662130114e-05,0.013207547169811321,0.06329113924050633,0.03871681415929204,2.87,2.59
4,CoRoT-11 b,1.43,0.03,-0.03,Bonomo et al. 2017,2.49,0.27,-0.27,Gandolfi et al. 2012,2.99433,1.1e-05,-1.1e-05,Southworth 2011,0.04351,0.00036,-0.00036,Gandolfi et al. 2012,1.37,0.03,-0.03,Bonomo et al. 2017,1.23,0.03,-0.03,Gandolfi et al. 2012,[Fe/H],-0.03,,6440.0,CoRoT,Space,0.0,0.02097902097902098,0.10843373493975904,3.673609789168194e-06,0.008273960009193289,0.0218978102189781,0.024390243902439025,2.7600000000000002,2.22
5,CoRoT-12 b,1.344,0.07400000000000001,-0.071,Raetz et al. 2019,0.917,0.07,-0.065, Gillon et al. 2010 ,2.82805268,6.5e-07,-6.5e-07,Raetz et al. 2019,0.04013,0.0009,-0.00093,Bonomo et al. 2017,1.05,0.04,-0.04,Southworth 2011,1.078,0.077,-0.072,Bonomo et al. 2017,[Fe/H],0.16,,5675.0,CoRoT,Space,0.0,0.053943452380952384,0.07360959651035986,2.29840131549459e-07,0.022800897084475455,0.03809523809523809,0.06910946196660482,0.9870000000000001,0.8520000000000001
6,CoRoT-13 b,0.885,0.013999999999999999,-0.013999999999999999, Cabrera et al. 2010 ,1.308,0.066,-0.066, Cabrera et al. 2010 ,4.03519,3e-05,-3e-05, Cabrera et al. 2010 ,0.05107,0.0003,-0.00031,Bonomo et al. 2017,1.01,0.03,-0.03, Cabrera et al. 2010 ,1.09,0.02,-0.02, Cabrera et al. 2010 ,[Fe/H],0.01,,5945.0,CoRoT,Space,0.0,0.015819209039548022,0.05045871559633028,7.434594157895911e-06,0.005972195026434306,0.0297029702970297,0.018348623853211007,1.374,1.242
7,CoRoT-14 b,1.09,0.07,-0.07, Tingley et al. 2011 ,7.42,0.47,-0.47,Bonomo et al. 2017,1.51214,0.00013,-0.00013,Southworth 2011,0.026910000000000003,0.0007,-0.00073,Bonomo et al. 2017,1.21,0.08,-0.08, Tingley et al. 2011 ,1.13,0.09,-0.09, Tingley et al. 2011 ,[Fe/H],0.05,,6035.0,CoRoT,Space,0.0,0.06422018348623854,0.06334231805929919,8.597087571256628e-05,0.026570048309178737,0.06611570247933884,0.07964601769911504,7.89,6.95
8,CoRoT-16 b,1.17,0.16,-0.14, Ollivier et al. 2012 ,0.535,0.085,-0.083, Ollivier et al. 2012 ,5.35227,0.0002,-0.0002, Ollivier et al. 2012 ,0.0618,0.0015,-0.0015, Ollivier et al. 2012 ,1.19,0.14,-0.13, Ollivier et al. 2012 ,1.098,0.082,-0.078, Ollivier et al. 2012 ,[M/H],0.19,,5650.0,CoRoT,Space,0.0,0.12820512820512822,0.15700934579439252,3.736732265001579e-05,0.024271844660194174,0.11344537815126052,0.07285974499089252,0.62,0.452
9,CoRoT-17 b,1.02,0.07,-0.07,Bonomo et al. 2017,2.46,0.26,-0.24,Southworth 2012,3.7681,0.0003,-0.0003,Southworth 2012,0.0461,0.0008,-0.0008, Csizmadia et al. 2011 ,1.59,0.07,-0.07,Bonomo et al. 2017,1.043,0.075,-0.047,Southworth 2012,[Fe/H],0.0,,5740.0,CoRoT,Space,0.0,0.06862745098039216,0.1016260162601626,7.961572145112921e-05,0.01735357917570499,0.04402515723270441,0.058485139022051776,2.7199999999999998,2.2199999999999998
10,CoRoT-18 b,1.146,0.039,-0.048,Raetz et al. 2019,3.27,0.17,-0.17,Southworth 2012,1.90009,5e-07,-5e-07,Raetz et al. 2019,0.0286,0.0006799999999999999,-0.0006799999999999999,Southworth 2012,0.88,0.03,-0.03,Raetz et al. 2019,0.861,0.061,-0.061,Southworth 2012,[Fe/H],-0.1,,5440.0,CoRoT,Space,0.0,0.03795811518324607,0.051987767584097865,2.6314542995331797e-07,0.023776223776223775,0.03409090909090909,0.07084785133565621,3.44,3.1
11,CoRoT-19 b,1.29,0.03,-0.03,Bonomo et al. 2017,1.11,0.06,-0.06, Guenther et al. 2012 ,3.89713,2e-05,-2e-05,Southworth 2012,0.051660000000000005,0.0006900000000000001,-0.0007,Bonomo et al. 2017,1.65,0.04,-0.04,Bonomo et al. 2017,1.21,0.05,-0.05,Bonomo et al. 2017,[Fe/H],-0.02,,6090.0,CoRoT,Space,0.0,0.023255813953488372,0.05405405405405405,5.131981740408967e-06,0.013453348819202479,0.024242424242424246,0.04132231404958678,1.1700000000000002,1.05
12,CoRoT-2 b,1.465,0.028999999999999998,-0.028999999999999998, Alonso et al. 2008 ,3.31,0.16,-0.16,&Ouml;zt&uuml;rk &amp; Erdem 2019,1.7429975,2e-07,-2e-07,&Ouml;zt&uuml;rk &amp; Erdem 2019,0.02835,0.00047000000000000004,-0.00047000000000000004,Southworth 2012,0.9,0.02,-0.02,&Ouml;zt&uuml;rk &amp; Erdem 2019,0.997,0.049,-0.049,Southworth 2012,,,,5625.0,CoRoT,Space,0.0,0.019795221843003412,0.04833836858006042,1.1474485763748943e-07,0.016578483245149912,0.022222222222222223,0.04914744232698094,3.47,3.15
13,CoRoT-20 b,0.84,0.04,-0.04,Bonomo et al. 2017,4.3,0.2,-0.2,Rey et al. 2018,9.24318,9e-06,-9e-06,Raetz et al. 2019,0.09,0.002,-0.002,Rey et al. 2018,1.02,0.05,-0.05,Bonomo et al. 2017,1.14,0.08,-0.08,Bonomo et al. 2017,,,,,CoRoT,Space,0.0,0.04761904761904762,0.04651162790697675,9.736908726217601e-07,0.022222222222222223,0.049019607843137254,0.07017543859649124,4.5,4.1
14,CoRoT-21 b,1.3,0.14,-0.14,Bonomo et al. 2017,2.26,0.31,-0.31,P&auml;tzold et al. 2012,2.72474,0.00014,-0.00014,Bonomo et al. 2017,0.0416,0.0009400000000000001,-0.001,Bonomo et al. 2017,1.95,0.21,-0.21,Bonomo et al. 2017,1.29,0.09,-0.09,Bonomo et al. 2017,[Fe/H],0.0,,6200.0,CoRoT,Space,0.0,0.1076923076923077,0.13716814159292037,5.138104920102468e-05,0.023317307692307696,0.10769230769230768,0.06976744186046512,2.57,1.9499999999999997
